Title,Country,Date,Time,Impact,Forecast,Previous,URL
Halifax HPI m/m,GBP,2014-03-06,07:59,Medium,0.6%,1.2%,https://www.forexfactory.com/calendar?day=mar6.2014
Retail PMI,EUR,2014-03-06,09:10,Low,,50.5,https://www.forexfactory.com/calendar?day=mar6.2014
Spanish 10-y Bond Auction,EUR,2014-03-06,09:45,Low,,3.56|1.9,https://www.forexfactory.com/calendar?day=mar6.2014
French 10-y Bond Auction,EUR,2014-03-06,10:00,Low,,2.25|2.1,https://www.forexfactory.com/calendar?day=mar6.2014
German Factory Orders m/m,EUR,2014-03-06,11:00,Medium,1.1%,-0.2%,https://www.forexfactory.com/calendar?day=mar6.2014
Asset Purchase Facility,GBP,2014-03-06,12:00,High,375B,375B,https://www.forexfactory.com/calendar?day=mar6.2014
Official Bank Rate,GBP,2014-03-06,,High,0.50%,0.50%,https://www.forexfactory.com/calendar?day=mar6.2014
Challenger Job Cuts y/y,USD,2014-03-06,12:30,Low,,11.6%,https://www.forexfactory.com/calendar?day=mar6.2014
Main Refinancing Rate,EUR,2014-03-06,12:45,High,0.25%,0.25%,https://www.forexfactory.com/calendar?day=mar6.2014
FOMC Member Dudley Speaks,USD,2014-03-06,13:15,High,,,https://www.forexfactory.com/calendar?day=mar6.2014
Building Permits m/m,CAD,2014-03-06,13:30,High,1.9%,-4.8%,https://www.forexfactory.com/calendar?day=mar6.2014
ECB Press Conference,EUR,2014-03-06,,High,,,https://www.forexfactory.com/calendar?day=mar6.2014
Unemployment Claims,USD,2014-03-06,,High,336K,349K,https://www.forexfactory.com/calendar?day=mar6.2014
Revised Nonfarm Productivity q/q,USD,2014-03-06,,Medium,2.6%,3.2%,https://www.forexfactory.com/calendar?day=mar6.2014
Revised Unit Labor Costs q/q,USD,2014-03-06,,Low,-1.0%,-1.6%,https://www.forexfactory.com/calendar?day=mar6.2014
Ivey PMI,CAD,2014-03-06,15:00,High,56.7,56.8,https://www.forexfactory.com/calendar?day=mar6.2014
Factory Orders m/m,USD,2014-03-06,,Medium,-0.4%,-2.0%,https://www.forexfactory.com/calendar?day=mar6.2014
Natural Gas Storage,USD,2014-03-06,15:30,Low,-134B,-95B,https://www.forexfactory.com/calendar?day=mar6.2014
Gov Council Member Murray Speaks,CAD,2014-03-06,16:30,Medium,,,https://www.forexfactory.com/calendar?day=mar6.2014
FOMC Member Plosser Speaks,USD,2014-03-06,18:00,Medium,,,https://www.forexfactory.com/calendar?day=mar6.2014
AIG Construction Index,AUD,2014-03-06,22:17,Low,,48.2,https://www.forexfactory.com/calendar?day=mar6.2014
RBA Gov Stevens Speaks,AUD,2014-03-06,22:30,High,,,https://www.forexfactory.com/calendar?day=mar6.2014
Leading Indicators,JPY,2014-03-07,05:00,Low,112.4%,111.7%,https://www.forexfactory.com/calendar?day=mar7.2014
Unemployment Rate,CHF,2014-03-07,06:45,Low,3.2%,3.2%,https://www.forexfactory.com/calendar?day=mar7.2014
German WPI m/m,EUR,2014-03-07,07:00,Low,0.6%,0.3%,https://www.forexfactory.com/calendar?day=mar7.2014
French Gov Budget Balance,EUR,2014-03-07,07:45,Low,,-74.9B,https://www.forexfactory.com/calendar?day=mar7.2014
French Trade Balance,EUR,2014-03-07,,Low,-5.3B,-5.2B,https://www.forexfactory.com/calendar?day=mar7.2014
Foreign Currency Reserves,CHF,2014-03-07,08:00,Medium,,438B,https://www.forexfactory.com/calendar?day=mar7.2014
CPI m/m,CHF,2014-03-07,08:15,Medium,0.4%,-0.3%,https://www.forexfactory.com/calendar?day=mar7.2014
Consumer Inflation Expectations,GBP,2014-03-07,09:30,Medium,,3.6%,https://www.forexfactory.com/calendar?day=mar7.2014
German Industrial Production m/m,EUR,2014-03-07,11:00,Medium,0.7%,0.1%,https://www.forexfactory.com/calendar?day=mar7.2014
Employment Change,CAD,2014-03-07,13:30,High,16.9K,29.4K,https://www.forexfactory.com/calendar?day=mar7.2014
Trade Balance,CAD,2014-03-07,,High,-1.6B,-0.9B,https://www.forexfactory.com/calendar?day=mar7.2014
Unemployment Rate,CAD,2014-03-07,,High,7.0%,7.0%,https://www.forexfactory.com/calendar?day=mar7.2014
Labor Productivity q/q,CAD,2014-03-07,,Medium,0.6%,0.3%,https://www.forexfactory.com/calendar?day=mar7.2014
Non-Farm Employment Change,USD,2014-03-07,,High,151K,129K,https://www.forexfactory.com/calendar?day=mar7.2014
Trade Balance,USD,2014-03-07,,High,-39.1B,-39.0B,https://www.forexfactory.com/calendar?day=mar7.2014
Unemployment Rate,USD,2014-03-07,,High,6.6%,6.6%,https://www.forexfactory.com/calendar?day=mar7.2014
Average Hourly Earnings m/m,USD,2014-03-07,,Medium,0.2%,0.2%,https://www.forexfactory.com/calendar?day=mar7.2014
FOMC Member Dudley Speaks,USD,2014-03-07,17:00,Medium,,,https://www.forexfactory.com/calendar?day=mar7.2014
Consumer Credit m/m,USD,2014-03-07,20:00,Low,14.6B,15.9B,https://www.forexfactory.com/calendar?day=mar7.2014
USD-Denominated Trade Balance,CNY,2014-03-08,02:02,High,13.2B,31.9B,https://www.forexfactory.com/calendar?day=mar7.2014
CPI y/y,CNY,2014-03-09,01:30,High,2.1%,2.5%,https://www.forexfactory.com/calendar?day=mar8.2014
PPI y/y,CNY,2014-03-08,,Medium,-1.9%,-1.6%,https://www.forexfactory.com/calendar?day=mar8.2014
Daylight Saving Time Shift,CAD,2014-03-09,07:00,Low,,,https://www.forexfactory.com/calendar?day=mar9.2014
Daylight Saving Time Shift,USD,2014-03-09,,Low,,,https://www.forexfactory.com/calendar?day=mar9.2014
Manufacturing Sales q/q,NZD,2014-03-09,21:45,Low,,6.2%,https://www.forexfactory.com/calendar?day=mar9.2014
Current Account,JPY,2014-03-09,23:50,Medium,-0.59T,0.07T,https://www.forexfactory.com/calendar?day=mar9.2014
Final GDP q/q,JPY,2014-03-09,,Medium,0.2%,0.3%,https://www.forexfactory.com/calendar?day=mar9.2014
Bank Lending y/y,JPY,2014-03-09,,Low,,2.3%,https://www.forexfactory.com/calendar?day=mar9.2014
Final GDP Price Index y/y,JPY,2014-03-09,,Low,-0.4%,-0.4%,https://www.forexfactory.com/calendar?day=mar9.2014
Economy Watchers Sentiment,JPY,2014-03-10,05:00,Low,54.3,54.7,https://www.forexfactory.com/calendar?day=mar10.2014
French Industrial Production m/m,EUR,2014-03-10,07:45,Medium,0.6%,-0.6%,https://www.forexfactory.com/calendar?day=mar10.2014
New Loans,CNY,2014-03-10,08:03,Medium,730B,1320B,https://www.forexfactory.com/calendar?day=mar10.2014
M2 Money Supply y/y,CNY,2014-03-10,,Low,13.2%,13.2%,https://www.forexfactory.com/calendar?day=mar10.2014
Retail Sales y/y,CHF,2014-03-10,08:15,Medium,2.7%,2.5%,https://www.forexfactory.com/calendar?day=mar10.2014
Italian Industrial Production m/m,EUR,2014-03-10,09:00,Low,0.4%,-0.8%,https://www.forexfactory.com/calendar?day=mar10.2014
Sentix Investor Confidence,EUR,2014-03-10,09:30,Low,14.3,13.3,https://www.forexfactory.com/calendar?day=mar10.2014
FOMC Member Plosser Speaks,USD,2014-03-10,10:15,Medium,,,https://www.forexfactory.com/calendar?day=mar10.2014
Eurogroup Meetings,EUR,2014-03-10,All Day,Medium,,,https://www.forexfactory.com/calendar?day=mar10.2014
Housing Starts,CAD,2014-03-10,12:12,Low,190K,180K,https://www.forexfactory.com/calendar?day=mar10.2014
MPC Member Bean Speaks,GBP,2014-03-10,14:15,Medium,,,https://www.forexfactory.com/calendar?day=mar10.2014
REINZ HPI m/m,NZD,2014-03-10,19:59,Low,,-2.4%,https://www.forexfactory.com/calendar?day=mar10.2014
M2 Money Stock y/y,JPY,2014-03-10,23:50,Low,4.4%,4.3%,https://www.forexfactory.com/calendar?day=mar10.2014
BRC Retail Sales Monitor y/y,GBP,2014-03-11,00:01,Medium,,3.9%,https://www.forexfactory.com/calendar?day=mar10.2014
NAB Business Confidence,AUD,2014-03-11,00:30,High,,9,https://www.forexfactory.com/calendar?day=mar10.2014
Monetary Policy Statement,JPY,2014-03-11,03:00,High,,,https://www.forexfactory.com/calendar?day=mar11.2014
Prelim Machine Tool Orders y/y,JPY,2014-03-11,06:00,Low,,40.3%,https://www.forexfactory.com/calendar?day=mar11.2014
German Trade Balance,EUR,2014-03-11,07:00,Medium,19.3B,18.3B,https://www.forexfactory.com/calendar?day=mar11.2014
BOJ Press Conference,JPY,2014-03-11,07:26,High,,,https://www.forexfactory.com/calendar?day=mar11.2014
Manufacturing Production m/m,GBP,2014-03-11,09:30,High,0.3%,0.4%,https://www.forexfactory.com/calendar?day=mar11.2014
Monetary Policy Report Hearings,GBP,2014-03-11,,High,,,https://www.forexfactory.com/calendar?day=mar11.2014
Industrial Production m/m,GBP,2014-03-11,,Low,0.3%,0.5%,https://www.forexfactory.com/calendar?day=mar11.2014
ECOFIN Meetings,EUR,2014-03-11,All Day,Medium,,,https://www.forexfactory.com/calendar?day=mar11.2014
10-y Bond Auction,GBP,2014-03-11,10:35,Low,,2.73|1.8,https://www.forexfactory.com/calendar?day=mar11.2014
NFIB Small Business Index,USD,2014-03-11,11:30,Low,95.3,94.1,https://www.forexfactory.com/calendar?day=mar11.2014
JOLTS Job Openings,USD,2014-03-11,14:00,High,4.02M,3.91M,https://www.forexfactory.com/calendar?day=mar11.2014
Final Wholesale Inventories m/m,USD,2014-03-11,,Low,0.5%,0.4%,https://www.forexfactory.com/calendar?day=mar11.2014
NIESR GDP Estimate,GBP,2014-03-11,15:00,Medium,,0.7%,https://www.forexfactory.com/calendar?day=mar11.2014
Westpac Consumer Sentiment,AUD,2014-03-11,23:30,Medium,,-3.0%,https://www.forexfactory.com/calendar?day=mar11.2014
BSI Manufacturing Index,JPY,2014-03-11,23:50,Medium,11.3,9.7,https://www.forexfactory.com/calendar?day=mar11.2014
Tertiary Industry Activity m/m,JPY,2014-03-11,,Medium,0.7%,-0.5%,https://www.forexfactory.com/calendar?day=mar11.2014
PPI y/y,JPY,2014-03-11,,Low,2.2%,2.5%,https://www.forexfactory.com/calendar?day=mar11.2014
Home Loans m/m,AUD,2014-03-12,00:30,Medium,0.8%,-3.3%,https://www.forexfactory.com/calendar?day=mar11.2014
BOJ Monthly Report,JPY,2014-03-12,05:00,Low,,,https://www.forexfactory.com/calendar?day=mar12.2014
Consumer Confidence,JPY,2014-03-12,,Low,40.3,40.5,https://www.forexfactory.com/calendar?day=mar12.2014
French Final Private Payrolls q/q,EUR,2014-03-12,06:30,Low,0.1%,0.1%,https://www.forexfactory.com/calendar?day=mar12.2014
Industrial Production m/m,EUR,2014-03-12,10:00,Medium,0.6%,-0.4%,https://www.forexfactory.com/calendar?day=mar12.2014
Trade Balance,EUR,2014-03-12,,Low,14.5B,16.0B,https://www.forexfactory.com/calendar?day=mar12.2014
G7 Meetings,All,2014-03-12,All Day,High,,,https://www.forexfactory.com/calendar?day=mar12.2014
Crude Oil Inventories,USD,2014-03-12,14:30,Medium,2.1M,1.4M,https://www.forexfactory.com/calendar?day=mar12.2014
10-y Bond Auction,USD,2014-03-12,17:01,Medium,,2.80|2.5,https://www.forexfactory.com/calendar?day=mar12.2014
Treasury Sec Lew Speaks,USD,2014-03-12,18:00,Low,,,https://www.forexfactory.com/calendar?day=mar12.2014
Official Cash Rate,NZD,2014-03-12,20:00,High,2.75%,2.50%,https://www.forexfactory.com/calendar?day=mar12.2014
RBNZ Monetary Policy Statement,NZD,2014-03-12,,High,,,https://www.forexfactory.com/calendar?day=mar12.2014
RBNZ Press Conference,NZD,2014-03-12,,High,,,https://www.forexfactory.com/calendar?day=mar12.2014
RBNZ Rate Statement,NZD,2014-03-12,,High,,,https://www.forexfactory.com/calendar?day=mar12.2014
FPI m/m,NZD,2014-03-12,21:45,Low,,1.2%,https://www.forexfactory.com/calendar?day=mar12.2014
Core Machinery Orders m/m,JPY,2014-03-12,23:50,Medium,7.3%,-15.7%,https://www.forexfactory.com/calendar?day=mar12.2014
MI Inflation Expectations,AUD,2014-03-13,00:00,Medium,,2.3%,https://www.forexfactory.com/calendar?day=mar12.2014
RICS House Price Balance,GBP,2014-03-13,00:01,Low,52%,52%,https://www.forexfactory.com/calendar?day=mar12.2014
Employment Change,AUD,2014-03-13,00:30,High,15.3K,18.0K,https://www.forexfactory.com/calendar?day=mar12.2014
Unemployment Rate,AUD,2014-03-12,,High,6.0%,6.0%,https://www.forexfactory.com/calendar?day=mar12.2014
RBNZ Gov Wheeler Speaks,NZD,2014-03-13,01:10,High,,,https://www.forexfactory.com/calendar?day=mar12.2014
Industrial Production y/y,CNY,2014-03-13,05:47,High,9.5%,9.7%,https://www.forexfactory.com/calendar?day=mar13.2014
Fixed Asset Investment ytd/y,CNY,2014-03-13,,Medium,19.5%,19.6%,https://www.forexfactory.com/calendar?day=mar13.2014
Retail Sales y/y,CNY,2014-03-13,,Low,13.5%,13.6%,https://www.forexfactory.com/calendar?day=mar13.2014
French Final CPI m/m,EUR,2014-03-13,07:45,Low,0.4%,-0.6%,https://www.forexfactory.com/calendar?day=mar13.2014
ECB Monthly Bulletin,EUR,2014-03-13,09:00,Medium,,,https://www.forexfactory.com/calendar?day=mar13.2014
NHPI m/m,CAD,2014-03-13,12:30,Medium,0.3%,0.1%,https://www.forexfactory.com/calendar?day=mar13.2014
Capacity Utilization Rate,CAD,2014-03-13,,Low,82.3%,81.2%,https://www.forexfactory.com/calendar?day=mar13.2014
Core Retail Sales m/m,USD,2014-03-13,,High,0.2%,-0.3%,https://www.forexfactory.com/calendar?day=mar13.2014
Retail Sales m/m,USD,2014-03-13,,High,0.3%,-0.6%,https://www.forexfactory.com/calendar?day=mar13.2014
Unemployment Claims,USD,2014-03-13,,High,334K,324K,https://www.forexfactory.com/calendar?day=mar13.2014
Import Prices m/m,USD,2014-03-13,,Medium,0.6%,0.4%,https://www.forexfactory.com/calendar?day=mar13.2014
Business Inventories m/m,USD,2014-03-13,14:00,Medium,0.4%,0.5%,https://www.forexfactory.com/calendar?day=mar13.2014
Fed Gov Nomination Hearings,USD,2014-03-13,,Medium,,,https://www.forexfactory.com/calendar?day=mar13.2014
Natural Gas Storage,USD,2014-03-13,14:30,Low,-199B,-152B,https://www.forexfactory.com/calendar?day=mar13.2014
30-y Bond Auction,USD,2014-03-13,17:01,Low,,3.69|2.3,https://www.forexfactory.com/calendar?day=mar13.2014
Federal Budget Balance,USD,2014-03-13,17:52,Medium,-223.2B,-10.4B,https://www.forexfactory.com/calendar?day=mar13.2014
BusinessNZ Manufacturing Index,NZD,2014-03-13,21:30,Medium,,56.3,https://www.forexfactory.com/calendar?day=mar13.2014
Monetary Policy Meeting Minutes,JPY,2014-03-13,23:50,Medium,,,https://www.forexfactory.com/calendar?day=mar13.2014
Revised Industrial Production m/m,JPY,2014-03-14,04:30,Low,4.0%,4.0%,https://www.forexfactory.com/calendar?day=mar14.2014
German Final CPI m/m,EUR,2014-03-14,07:00,Low,0.5%,0.5%,https://www.forexfactory.com/calendar?day=mar14.2014
PPI m/m,CHF,2014-03-14,08:15,Medium,0.3%,0.0%,https://www.forexfactory.com/calendar?day=mar14.2014
Goods Trade Balance,GBP,2014-03-14,09:30,Medium,-8.7B,-7.7B,https://www.forexfactory.com/calendar?day=mar14.2014
Construction Output m/m,GBP,2014-03-14,,Low,1.4%,2.0%,https://www.forexfactory.com/calendar?day=mar14.2014
Final Employment Change q/q,EUR,2014-03-14,10:00,Low,0.0%,0.0%,https://www.forexfactory.com/calendar?day=mar14.2014
CB Leading Index m/m,GBP,2014-03-14,,Low,,-0.1%,https://www.forexfactory.com/calendar?day=mar14.2014
PPI m/m,USD,2014-03-14,12:30,High,0.2%,0.2%,https://www.forexfactory.com/calendar?day=mar14.2014
Core PPI m/m,USD,2014-03-14,,Medium,0.1%,0.2%,https://www.forexfactory.com/calendar?day=mar14.2014
Prelim UoM Consumer Sentiment,USD,2014-03-14,13:55,High,81.9,81.6,https://www.forexfactory.com/calendar?day=mar14.2014
Prelim UoM Inflation Expectations,USD,2014-03-14,,Low,,3.2%,https://www.forexfactory.com/calendar?day=mar14.2014
Westpac Consumer Sentiment,NZD,2014-03-16,21:00,Low,,120.1,https://www.forexfactory.com/calendar?day=mar16.2014
BusinessNZ Services Index,NZD,2014-03-16,21:30,Low,,57.7,https://www.forexfactory.com/calendar?day=mar16.2014
Rightmove HPI m/m,GBP,2014-03-16,23:04,Low,,3.3%,https://www.forexfactory.com/calendar?day=mar16.2014
New Motor Vehicle Sales m/m,AUD,2014-03-17,00:30,Medium,,-4.0%,https://www.forexfactory.com/calendar?day=mar16.2014
MPC Member Cunliffe Speaks,GBP,2014-03-17,09:30,Medium,,,https://www.forexfactory.com/calendar?day=mar17.2014
Final CPI y/y,EUR,2014-03-17,10:00,Medium,0.8%,0.8%,https://www.forexfactory.com/calendar?day=mar17.2014
Final Core CPI y/y,EUR,2014-03-17,,Low,1.0%,1.0%,https://www.forexfactory.com/calendar?day=mar17.2014
Foreign Securities Purchases,CAD,2014-03-17,12:30,Medium,3.24B,-4.28B,https://www.forexfactory.com/calendar?day=mar17.2014
Empire State Manufacturing Index,USD,2014-03-17,,Medium,6.6,4.5,https://www.forexfactory.com/calendar?day=mar17.2014
Capacity Utilization Rate,USD,2014-03-17,13:15,Medium,78.7%,78.5%,https://www.forexfactory.com/calendar?day=mar17.2014
Industrial Production m/m,USD,2014-03-17,,Medium,0.2%,-0.2%,https://www.forexfactory.com/calendar?day=mar17.2014
NAHB Housing Market Index,USD,2014-03-17,14:00,Medium,50,46,https://www.forexfactory.com/calendar?day=mar17.2014
German Buba President Weidmann Speaks,EUR,2014-03-17,15:00,Medium,,,https://www.forexfactory.com/calendar?day=mar17.2014
Monetary Policy Meeting Minutes,AUD,2014-03-18,00:30,High,,,https://www.forexfactory.com/calendar?day=mar17.2014
Foreign Direct Investment ytd/y,CNY,2014-03-18,02:23,Low,,16.1%,https://www.forexfactory.com/calendar?day=mar17.2014
SECO Economic Forecasts,CHF,2014-03-18,06:45,Low,,,https://www.forexfactory.com/calendar?day=mar18.2014
German WPI m/m,EUR,2014-03-18,07:00,Low,0.2%,-0.1%,https://www.forexfactory.com/calendar?day=mar18.2014
Italian Trade Balance,EUR,2014-03-18,09:00,Low,2.47B,3.61B,https://www.forexfactory.com/calendar?day=mar18.2014
German Constitutional Court Ruling,EUR,2014-03-18,09:15,Medium,,,https://www.forexfactory.com/calendar?day=mar18.2014
German ZEW Economic Sentiment,EUR,2014-03-18,10:00,High,52.8,55.7,https://www.forexfactory.com/calendar?day=mar18.2014
ZEW Economic Sentiment,EUR,2014-03-18,,Medium,67.3,68.5,https://www.forexfactory.com/calendar?day=mar18.2014
Manufacturing Sales m/m,CAD,2014-03-18,12:30,High,1.1%,-1.5%,https://www.forexfactory.com/calendar?day=mar18.2014
Building Permits,USD,2014-03-18,,High,0.97M,0.95M,https://www.forexfactory.com/calendar?day=mar18.2014
Core CPI m/m,USD,2014-03-18,,High,0.1%,0.1%,https://www.forexfactory.com/calendar?day=mar18.2014
CPI y/y,USD,2014-03-18,,High,1.2%,1.6%,https://www.forexfactory.com/calendar?day=mar18.2014
CPI m/m,USD,2014-03-18,,Medium,0.1%,0.1%,https://www.forexfactory.com/calendar?day=mar18.2014
Housing Starts,USD,2014-03-18,,Medium,0.92M,0.91M,https://www.forexfactory.com/calendar?day=mar18.2014
TIC Long-Term Purchases,USD,2014-03-18,13:00,Medium,23.4B,-45.9B,https://www.forexfactory.com/calendar?day=mar18.2014
GDT Price Index,NZD,2014-03-18,13:30,Low,,-4.0%,https://www.forexfactory.com/calendar?day=mar18.2014
BOC Gov Poloz Speaks,CAD,2014-03-18,15:55,High,,,https://www.forexfactory.com/calendar?day=mar18.2014
BOE Gov Carney Speaks,GBP,2014-03-18,17:45,High,,,https://www.forexfactory.com/calendar?day=mar18.2014
Current Account,NZD,2014-03-18,21:45,Medium,-1.44B,-4.88B,https://www.forexfactory.com/calendar?day=mar18.2014
MI Leading Index m/m,AUD,2014-03-18,23:30,Low,,-0.1%,https://www.forexfactory.com/calendar?day=mar18.2014
Trade Balance,JPY,2014-03-18,23:50,Medium,-0.89T,-1.76T,https://www.forexfactory.com/calendar?day=mar18.2014
All Industries Activity m/m,JPY,2014-03-19,04:30,Low,1.3%,-0.3%,https://www.forexfactory.com/calendar?day=mar19.2014
BOJ Gov Kuroda Speaks,JPY,2014-03-19,05:00,High,,,https://www.forexfactory.com/calendar?day=mar19.2014
Claimant Count Change,GBP,2014-03-19,09:30,High,-23.3K,-33.9K,https://www.forexfactory.com/calendar?day=mar19.2014
MPC Asset Purchase Facility Votes,GBP,2014-03-19,,High,0-0-9,0-0-9,https://www.forexfactory.com/calendar?day=mar19.2014
MPC Official Bank Rate Votes,GBP,2014-03-19,,High,0-0-9,0-0-9,https://www.forexfactory.com/calendar?day=mar19.2014
Unemployment Rate,GBP,2014-03-19,,High,7.2%,7.2%,https://www.forexfactory.com/calendar?day=mar19.2014
Average Earnings Index 3m/y,GBP,2014-03-19,,Medium,1.3%,1.2%,https://www.forexfactory.com/calendar?day=mar19.2014
UBS Economic Expectations,CHF,2014-03-19,10:00,Medium,,28.7,https://www.forexfactory.com/calendar?day=mar19.2014
German 10-y Bond Auction,EUR,2014-03-19,10:43,Medium,,1.64|1.1,https://www.forexfactory.com/calendar?day=mar19.2014
Wholesale Sales m/m,CAD,2014-03-19,12:30,Medium,1.2%,-1.3%,https://www.forexfactory.com/calendar?day=mar19.2014
Annual Budget Release,GBP,2014-03-19,,High,,,https://www.forexfactory.com/calendar?day=mar19.2014
Current Account,USD,2014-03-19,,Medium,-88B,-96B,https://www.forexfactory.com/calendar?day=mar19.2014
Crude Oil Inventories,USD,2014-03-19,14:30,Medium,2.4M,6.2M,https://www.forexfactory.com/calendar?day=mar19.2014
SNB Chairman Jordan Speaks,CHF,2014-03-19,17:45,High,,,https://www.forexfactory.com/calendar?day=mar19.2014
FOMC Economic Projections,USD,2014-03-19,18:00,High,,,https://www.forexfactory.com/calendar?day=mar19.2014
FOMC Statement,USD,2014-03-19,,High,,,https://www.forexfactory.com/calendar?day=mar19.2014
Federal Funds Rate,USD,2014-03-19,,Medium,<0.25%,<0.25%,https://www.forexfactory.com/calendar?day=mar19.2014
FOMC Press Conference,USD,2014-03-19,18:30,High,,,https://www.forexfactory.com/calendar?day=mar19.2014
GDP q/q,NZD,2014-03-19,21:45,High,1.0%,1.2%,https://www.forexfactory.com/calendar?day=mar19.2014
RBA Bulletin,AUD,2014-03-20,00:30,Low,,,https://www.forexfactory.com/calendar?day=mar19.2014
Trade Balance,CHF,2014-03-20,07:00,Low,2.47B,2.55B,https://www.forexfactory.com/calendar?day=mar20.2014
German PPI m/m,EUR,2014-03-20,,Medium,0.2%,-0.1%,https://www.forexfactory.com/calendar?day=mar20.2014
BOJ Gov Kuroda Speaks,JPY,2014-03-20,07:15,High,,,https://www.forexfactory.com/calendar?day=mar20.2014
Libor Rate,CHF,2014-03-20,08:30,High,<0.25%,<0.25%,https://www.forexfactory.com/calendar?day=mar20.2014
SNB Monetary Policy Assessment,CHF,2014-03-20,,High,,,https://www.forexfactory.com/calendar?day=mar20.2014
EU Economic Summit,EUR,2014-03-20,Day 1,Medium,,,https://www.forexfactory.com/calendar?day=mar20.2014
CBI Industrial Order Expectations,GBP,2014-03-20,11:00,Medium,5,3,https://www.forexfactory.com/calendar?day=mar20.2014
Unemployment Claims,USD,2014-03-20,12:30,High,327K,315K,https://www.forexfactory.com/calendar?day=mar20.2014
Existing Home Sales,USD,2014-03-20,14:00,High,4.65M,4.62M,https://www.forexfactory.com/calendar?day=mar20.2014
Philly Fed Manufacturing Index,USD,2014-03-20,,High,4.2,-6.3,https://www.forexfactory.com/calendar?day=mar20.2014
CB Leading Index m/m,USD,2014-03-20,,Low,0.3%,0.1%,https://www.forexfactory.com/calendar?day=mar20.2014
Natural Gas Storage,USD,2014-03-20,14:30,Low,-58B,-195B,https://www.forexfactory.com/calendar?day=mar20.2014
MPC Member Weale Speaks,GBP,2014-03-20,16:30,Medium,,,https://www.forexfactory.com/calendar?day=mar20.2014
Bank Stress Test Results,USD,2014-03-20,20:00,Medium,,,https://www.forexfactory.com/calendar?day=mar20.2014
Visitor Arrivals m/m,NZD,2014-03-20,21:45,Low,,2.8%,https://www.forexfactory.com/calendar?day=mar20.2014
CB Leading Index m/m,AUD,2014-03-20,23:00,Medium,,0.8%,https://www.forexfactory.com/calendar?day=mar20.2014
Bank Holiday,JPY,2014-03-20,All Day,Low,,,https://www.forexfactory.com/calendar?day=mar20.2014
Credit Card Spending y/y,NZD,2014-03-21,02:00,Low,,9.4%,https://www.forexfactory.com/calendar?day=mar20.2014
Current Account,EUR,2014-03-21,09:00,Medium,18.4B,20.0B,https://www.forexfactory.com/calendar?day=mar21.2014
EU Economic Summit,EUR,2014-03-21,Day 2,Medium,,,https://www.forexfactory.com/calendar?day=mar21.2014
Public Sector Net Borrowing,GBP,2014-03-21,09:30,Medium,7.8B,-6.8B,https://www.forexfactory.com/calendar?day=mar21.2014
Core CPI m/m,CAD,2014-03-21,12:30,High,0.5%,0.2%,https://www.forexfactory.com/calendar?day=mar21.2014
Core Retail Sales m/m,CAD,2014-03-21,,High,0.9%,-1.5%,https://www.forexfactory.com/calendar?day=mar21.2014
CPI m/m,CAD,2014-03-21,,Medium,0.6%,0.3%,https://www.forexfactory.com/calendar?day=mar21.2014
Retail Sales m/m,CAD,2014-03-21,,Medium,0.8%,-1.9%,https://www.forexfactory.com/calendar?day=mar21.2014
Consumer Confidence,EUR,2014-03-21,15:00,Low,-12,-13,https://www.forexfactory.com/calendar?day=mar21.2014
FOMC Member Fisher Speaks,USD,2014-03-21,17:45,High,,,https://www.forexfactory.com/calendar?day=mar21.2014
MPC Member Dale Speaks,GBP,2014-03-21,20:30,Medium,,,https://www.forexfactory.com/calendar?day=mar21.2014
FOMC Member Kocherlakota Speaks,USD,2014-03-21,,Medium,,,https://www.forexfactory.com/calendar?day=mar21.2014
FOMC Member Stein Speaks,USD,2014-03-21,22:30,Medium,,,https://www.forexfactory.com/calendar?day=mar21.2014
BOJ Gov Kuroda Speaks,JPY,2014-03-22,16:30,High,,,https://www.forexfactory.com/calendar?day=mar22.2014
Caixin Flash Manufacturing PMI,CNY,2014-03-24,01:45,High,48.7,48.5,https://www.forexfactory.com/calendar?day=mar23.2014
French Flash Manufacturing PMI,EUR,2014-03-24,08:00,High,49.8,49.7,https://www.forexfactory.com/calendar?day=mar24.2014
French Flash Services PMI,EUR,2014-03-24,,Medium,47.9,47.2,https://www.forexfactory.com/calendar?day=mar24.2014
German Flash Manufacturing PMI,EUR,2014-03-24,08:30,High,54.7,54.8,https://www.forexfactory.com/calendar?day=mar24.2014
German Flash Services PMI,EUR,2014-03-24,,Medium,55.8,55.9,https://www.forexfactory.com/calendar?day=mar24.2014
Flash Manufacturing PMI,EUR,2014-03-24,09:00,Medium,53.2,53.2,https://www.forexfactory.com/calendar?day=mar24.2014
Flash Services PMI,EUR,2014-03-24,,Medium,52.6,52.6,https://www.forexfactory.com/calendar?day=mar24.2014
German Buba Monthly Report,EUR,2014-03-24,11:00,Medium,,,https://www.forexfactory.com/calendar?day=mar24.2014
Flash Manufacturing PMI,USD,2014-03-24,13:45,Medium,56.6,57.1,https://www.forexfactory.com/calendar?day=mar24.2014
Belgian NBB Business Climate,EUR,2014-03-24,14:00,Low,-5.1,-4.0,https://www.forexfactory.com/calendar?day=mar24.2014
G7 Meetings,All,2014-03-24,All Day,High,,,https://www.forexfactory.com/calendar?day=mar24.2014
Gov Council Member Lane Speaks,CAD,2014-03-24,16:30,Medium,,,https://www.forexfactory.com/calendar?day=mar24.2014
